"ID",y,x
14,-107080.439150087,11351663.4956603
14,-107079.871340671,11351663.3361024
14,-107150.498673762,11351712.8157607
14,-107166.271160746,11351724.125821
14,-107199.98902894,11351728.8977165
14,-107198.936911166,11351727.0906302
14,-107203.184349609,11351719.8010588
14,-107202.713030531,11351719.476377
14,-107204.952723951,11351716.0718558
14,-107206.552239889,11351714.0848029
14,-107196.775152432,11351726.8420166
14,-107180.087859881,11351741.2987078
14,-107185.530296034,11351745.1856134
14,-107196.114563499,11351743.573336
14,-107204.210489178,11351743.0185939
14,-107204.262445612,11351742.3061492
14,-107206.56337341,11351743.4026462
14,-107198.202098753,11351738.4359415
14,-107200.015007158,11351739.8589758
14,-107191.364261095,11351741.8571606
14,-107179.453249193,11351745.7273682
14,-107172.292539773,11351736.2039857
14,-107177.788787832,11351750.1003689
14,-107178.74627062,11351759.5495383
14,-107174.502543625,11351759.547683
14,-107174.443164848,11351757.7962563
14,-107177.927956841,11351760.9132021
14,-107190.584914611,11351761.5959616
14,-107199.938928095,11351767.8576829
14,-107198.701251629,11351785.123336
14,-107201.605245141,11351785.6966313
14,-107201.191449259,11351788.1363836
14,-107214.158290829,11351794.5391096
14,-107225.978380055,11351789.5575624
14,-107217.168052918,11351791.6151176
14,-107228.871240253,11351778.640831
14,-107243.743770738,11351773.8633695
14,-107234.864786467,11351735.8180782
14,-107216.865592237,11351736.6752383
14,-107204.186366549,11351745.5845082
14,-107184.339009288,11351742.8812999
14,-107154.291492925,11351716.4837379
14,-107117.458099035,11351693.2810454
14,-107078.025032287,11351664.5921573
14,-107036.227952924,11351616.5800609
14,-107021.010291563,11351632.383718
14,-107011.337121695,11351635.5971407
14,-106989.799335769,11351628.2389223
14,-106980.762632637,11351618.0531889
14,-106981.629191224,11351616.4520435
14,-106969.797976088,11351610.0029344
14,-106972.980305719,11351611.5447093
14,-106958.870431568,11351629.185138
14,-106963.154979042,11351641.2391835
14,-106961.523919171,11351643.7624253
14,-106963.759899998,11351639.8792303
